AYUNTAMIENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040004E0201,'040004E020102,'04,CAMPECHE,'001,CAMPECHE,'0004,2,E,1,1,2,,,,,,,,49,31,38,48,2,40,9,36,12,19,20,44,35,,,383,720,,,,,,,,,,,
'040004E0202,'040004E020202,'04,CAMPECHE,'001,CAMPECHE,'0004,2,E,2,1,2,,,,,,,,43,31,39,17,7,40,11,44,19,31,39,6,5,,,332,720,,,,,,,,,,,
'040004E0203,'040004E020302,'04,CAMPECHE,'001,CAMPECHE,'0004,2,E,3,1,2,,,,,,,,3,14,38,10,25,22,16,33,38,22,26,14,42,,,303,719,,,,,,,,,,,
'040004E0204,'040004E020402,'04,CAMPECHE,'001,CAMPECHE,'0004,2,E,4,1,2,,,,,,,,39,45,34,32,48,15,17,9,42,18,47,46,25,,,417,719,,,,,,,,,,,
'040005B0100,'040005B010002,'04,CAMPECHE,'001,CAMPECHE,'0005,1,B,0,1,2,,,,,,,,9,1,8,35,3,6,33,7,31,43,20,47,36,,,279,523,,,,,,,,,,,
'040005C0100,'040005C010002,'04,CAMPECHE,'001,CAMPECHE,'0005,1,C,0,1,2,,,,,,,,7,27,17,7,25,10,43,32,8,22,42,40,9,,,289,523,,,,,,,,,,,
'040006B0100,'040006B010002,'04,CAMPECHE,'001,CAMPECHE,'0006,1,B,0,1,2,,,,,,,,19,8,49,40,24,40,32,5,40,41,37,12,28,,,375,516,,,,,,,,,,,
'040006C0100,'040006C010002,'04,CAMPECHE,'001,CAMPECHE,'0006,1,C,0,1,2,,,,,,,,1,25,8,1,47,13,20,2,27,33,35,30,44,,,286,515,,,,,,,,,,,
'040007B0100,'040007B010002,'04,CAMPECHE,'001,CAMPECHE,'0007,1,B,0,1,2,,,,,,,,13,2,34,47,46,26,22,11,5,42,46,14,37,,,345,489,,,,,,,,,,,
'040007C0100,'040007C010002,'04,CAMPECHE,'001,CAMPECHE,'0007,1,C,0,1,2,,,,,,,,5,18,10,3,42,19,22,7,10,25,17,34,10,,,222,489,,,,,,,,,,,
'040008B0100,'040008B010002,'04,CAMPECHE,'001,CAMPECHE,'0008,1,B,0,1,2,,,,,,,,30,45,9,26,20,47,6,24,44,11,45,25,22,,,354,381,,,,,,,,,,,
'040008C0100,'040008C010002,'04,CAMPECHE,'001,CAMPECHE,'0008,1,C,0,1,2,,,,,,,,48,36,31,11,2,47,41,9,14,26,25,35,37,,,362,381,,,,,,,,,,,
'040009B0100,'040009B010002,'04,CAMPECHE,'001,CAMPECHE,'0009,1,B,0,1,2,,,,,,,,42,38,39,18,3,16,13,46,40,45,48,34,23,,,405,677,,,,,,,,,,,
'040009C0100,'040009C010002,'04,CAMPECHE,'001,CAMPECHE,'0009,1,C,0,1,2,,,,,,,,29,5,37,11,31,6,28,44,36,29,39,45,24,,,364,677,,,,,,,,,,,
'040009C0200,'040009C020002,'04,CAMPECHE,'001,CAMPECHE,'0009,2,C,0,1,2,,,,,,,,6,35,25,30,15,17,5,42,16,4,14,12,4,,,225,677,,,,,,,,,,,
'040009C0300,'040009C030002,'04,CAMPECHE,'001,CAMPECHE,'0009,3,C,0,1,2,,,,,,,,23,16,12,20,7,32,24,15,47,24,9,35,22,,,286,677,,,,,,,,,,,
'040009C0400,'040009C040002,'04,CAMPECHE,'001,CAMPECHE,'0009,4,C,0,1,2,,,,,,,,38,14,29,9,49,42,49,10,49,1,26,2,42,,,360,677,,,,,,,,,,,
'040009C0500,'040009C050002,'04,CAMPECHE,'001,CAMPECHE,'0009,5,C,0,1,2,,,,,,,,32,34,31,28,29,20,4,10,39,34,31,20,32,,,344,676,,,,,,,,,,,
'040009C0600,'040009C060002,'04,CAMPECHE,'001,CAMPECHE,'0009,6,C,0,1,2,,,,,,,,13,31,29,2,2,34,10,24,18,16,4,34,25,,,242,676,,,,,,,,,,,
'040010B0100,'040010B010002,'04,CAMPECHE,'001,CAMPECHE,'0010,1,B,0,1,2,,,,,,,,22,8,30,14,16,28,11,25,31,39,9,25,15,,,273,528,,,,,,,,,,,
'040010C0100,'040010C010002,'04,CAMPECHE,'001,CAMPECHE,'0010,1,C,0,1,2,,,,,,,,36,10,41,37,16,39,21,14,35,6,40,11,43,,,349,528,,,,,,,,,,,
'040011B0100,'040011B010002,'04,CAMPECHE,'001,CAMPECHE,'0011,1,B,0,1,2,,,,,,,,42,24,8,9,3,30,16,36,31,48,42,25,45,,,359,457,,,,,,,,,,,
'040011C0100,'040011C010002,'04,CAMPECHE,'001,CAMPECHE,'0011,1,C,0,1,2,,,,,,,,6,38,23,41,25,20,28,26,42,25,9,9,47,,,339,456,,,,,,,,,,,
'040012B0100,'040012B010002,'04,CAMPECHE,'001,CAMPECHE,'0012,1,B,0,1,2,,,,,,,,35,28,17,12,47,15,28,28,19,34,41,29,26,,,359,510,,,,,,,,,,,
'040012C0100,'040012C010002,'04,CAMPECHE,'001,CAMPECHE,'0012,1,C,0,1,2,,,,,,,,13,13,24,28,30,5,19,30,9,38,39,18,48,,,314,510,,,,,,,,,,,
'040012C0200,'040012C020002,'04,CAMPECHE,'001,CAMPECHE,'0012,2,C,0,1,2,,,,,,,,32,9,43,33,6,37,9,29,18,21,44,24,18,,,323,509,,,,,,,,,,,
'040012S0100,'040012S010002,'04,CAMPECHE,'001,CAMPECHE,'0012,1,S,0,1,2,,,,,,,,1,13,20,7,1,16,8,44,1,40,32,14,38,,,235,0,,,,,,,,,,,
'040013B0100,'040013B010002,'04,CAMPECHE,'001,CAMPECHE,'0013,1,B,0,1,2,,,,,,,,13,36,23,10,20,8,34,32,28,35,14,38,45,,,336,625,,,,,,,,,,,
'040013C0100,'040013C010002,'04,CAMPECHE,'001,CAMPECHE,'0013,1,C,0,1,2,,,,,,,,38,40,16,5,46,33,23,47,8,49,43,9,15,,,372,625,,,,,,,,,,,
'040014B0100,'040014B010002,'04,CAMPECHE,'001,CAMPECHE,'0014,1,B,0,1,2,,,,,,,,2,2,15,14,47,30,13,2,3,14,20,5,42,,,209,544,,,,,,,,,,,
'040014C0100,'040014C010002,'04,CAMPECHE,'001,CAMPECHE,'0014,1,C,0,1,2,,,,,,,,34,36,32,36,17,44,48,31,20,27,21,48,31,,,425,544,,,,,,,,,,,
'040015B0100,'040015B010002,'04,CAMPECHE,'001,CAMPECHE,'0015,1,B,0,1,2,,,,,,,,13,12,29,46,6,43,12,12,23,42,25,40,39,,,342,576,,,,,,,,,,,
'040015C0100,'040015C010002,'04,CAMPECHE,'001,CAMPECHE,'0015,1,C,0,1,2,,,,,,,,30,10,30,45,37,20,48,43,33,13,16,49,33,,,407,576,,,,,,,,,,,
'040016B0100,'040016B010002,'04,CAMPECHE,'001,CAMPECHE,'0016,1,B,0,1,2,,,,,,,,47,21,36,11,48,43,17,41,8,3,28,20,42,,,365,599,,,,,,,,,,,
'040016C0100,'040016C010002,'04,CAMPECHE,'001,CAMPECHE,'0016,1,C,0,1,2,,,,,,,,29,47,11,9,25,41,47,5,25,44,22,25,18,,,348,599,,,,,,,,,,,
'040017B0100,'040017B010002,'04,CAMPECHE,'001,CAMPECHE,'0017,1,B,0,2,2,,,,,,,,16,43,10,27,16,39,42,46,43,31,33,30,39,,,415,701,,,,,,,,,,,
'040017C0100,'040017C010002,'04,CAMPECHE,'001,CAMPECHE,'0017,1,C,0,2,2,,,,,,,,32,26,23,45,38,9,14,41,3,9,3,43,29,,,315,701,,,,,,,,,,,
'040017C0200,'040017C020002,'04,CAMPECHE,'001,CAMPECHE,'0017,2,C,0,2,2,,,,,,,,4,40,45,35,18,2,2,30,25,4,9,30,8,,,252,701,,,,,,,,,,,
'040017C0300,'040017C030002,'04,CAMPECHE,'001,CAMPECHE,'0017,3,C,0,2,2,,,,,,,,34,49,21,20,34,35,40,33,41,13,3,3,6,,,332,700,,,,,,,,,,,
'040017C0400,'040017C040002,'04,CAMPECHE,'001,CAMPECHE,'0017,4,C,0,2,2,,,,,,,,38,40,42,28,14,4,4,37,18,5,16,23,21,,,290,700,,,,,,,,,,,
'040017C0500,'040017C050002,'04,CAMPECHE,'001,CAMPECHE,'0017,5,C,0,2,2,,,,,,,,47,15,27,11,18,8,3,5,25,40,35,38,12,,,284,700,,,,,,,,,,,
'040017C0600,'040017C060002,'04,CAMPECHE,'001,CAMPECHE,'0017,6,C,0,2,2,,,,,,,,15,19,3,47,38,31,25,8,20,12,11,30,44,,,303,700,,,,,,,,,,,
'040017C0700,'040017C070002,'04,CAMPECHE,'001,CAMPECHE,'0017,7,C,0,2,2,,,,,,,,7,11,10,2,28,1,47,10,46,33,26,41,19,,,281,700,,,,,,,,,,,
'040018B0100,'040018B010002,'04,CAMPECHE,'001,CAMPECHE,'0018,1,B,0,1,2,,,,,,,,15,45,47,15,38,49,13,13,8,15,23,13,32,,,326,646,,,,,,,,,,,
'040019B0100,'040019B010002,'04,CAMPECHE,'001,CAMPECHE,'0019,1,B,0,1,2,,,,,,,,29,37,18,8,14,7,33,35,2,36,45,28,23,,,315,551,,,,,,,,,,,
'040019C0100,'040019C010002,'04,CAMPECHE,'001,CAMPECHE,'0019,1,C,0,1,2,,,,,,,,12,44,37,48,10,3,27,26,15,27,47,31,37,,,364,551,,,,,,,,,,,
'040020B0100,'040020B010002,'04,CAMPECHE,'001,CAMPECHE,'0020,1,B,0,1,2,,,,,,,,2,4,44,48,25,18,15,18,17,29,36,5,25,,,286,573,,,,,,,,,,,
'040020C0100,'040020C010002,'04,CAMPECHE,'001,CAMPECHE,'0020,1,C,0,1,2,,,,,,,,23,14,44,41,9,22,44,22,27,36,15,18,33,,,348,573,,,,,,,,,,,
'040021B0100,'040021B010002,'04,CAMPECHE,'001,CAMPECHE,'0021,1,B,0,1,2,,,,,,,,25,31,24,17,26,36,6,26,30,4,27,7,42,,,301,546,,,,,,,,,,,
'040021C0100,'040021C010002,'04,CAMPECHE,'001,CAMPECHE,'0021,1,C,0,1,2,,,,,,,,3,22,44,45,42,30,46,38,44,24,11,5,30,,,384,546,,,,,,,,,,,
'040021C0200,'040021C020002,'04,CAMPECHE,'001,CAMPECHE,'0021,2,C,0,1,2,,,,,,,,28,14,7,38,34,36,31,48,36,44,45,44,40,,,445,545,,,,,,,,,,,
'040022B0100,'040022B010002,'04,CAMPECHE,'001,CAMPECHE,'0022,1,B,0,1,2,,,,,,,,4,2,17,37,2,15,15,32,22,27,42,45,39,,,299,470,,,,,,,,,,,
'040022C0100,'040022C010002,'04,CAMPECHE,'001,CAMPECHE,'0022,1,C,0,1,2,,,,,,,,1,26,32,47,6,32,16,40,45,29,6,20,12,,,312,469,,,,,,,,,,,
'040023B0100,'040023B010002,'04,CAMPECHE,'001,CAMPECHE,'0023,1,B,0,1,2,,,,,,,,26,11,46,31,37,25,28,13,24,2,12,40,36,,,331,466,,,,,,,,,,,
'040023C0100,'040023C010002,'04,CAMPECHE,'001,CAMPECHE,'0023,1,C,0,1,2,,,,,,,,19,7,19,21,21,41,42,46,10,43,6,35,3,,,313,465,,,,,,,,,,,
'040024B0100,'040024B010002,'04,CAMPECHE,'001,CAMPECHE,'0024,1,B,0,1,2,,,,,,,,22,2,25,8,38,31,43,11,38,24,49,30,47,,,368,558,,,,,,,,,,,
'040024C0100,'040024C010002,'04,CAMPECHE,'001,CAMPECHE,'0024,1,C,0,1,2,,,,,,,,26,33,35,10,20,21,8,12,6,29,36,21,3,,,260,557,,,,,,,,,,,
'040025B0100,'040025B010002,'04,CAMPECHE,'001,CAMPECHE,'0025,1,B,0,1,2,,,,,,,,29,28,24,17,23,28,27,39,38,49,45,20,46,,,413,597,,,,,,,,,,,
'040026B0100,'040026B010002,'04,CAMPECHE,'001,CAMPECHE,'0026,1,B,0,1,2,,,,,,,,2,28,12,2,10,10,35,29,34,7,32,24,18,,,243,547,,,,,,,,,,,
'040026C0100,'040026C010002,'04,CAMPECHE,'001,CAMPECHE,'0026,1,C,0,1,2,,,,,,,,44,22,37,11,35,40,42,26,42,19,25,12,5,,,360,547,,,,,,,,,,,
'040027B0100,'040027B010002,'04,CAMPECHE,'001,CAMPECHE,'0027,1,B,0,1,2,,,,,,,,36,6,30,39,46,19,23,46,8,35,46,11,21,,,366,532,,,,,,,,,,,
'040027C0100,'040027C010002,'04,CAMPECHE,'001,CAMPECHE,'0027,1,C,0,1,2,,,,,,,,4,26,28,7,18,32,48,14,25,12,7,22,10,,,253,531,,,,,,,,,,,
'040028B0100,'040028B010002,'04,CAMPECHE,'001,CAMPECHE,'0028,1,B,0,1,2,,,,,,,,1,20,43,14,35,13,36,6,32,40,16,26,6,,,288,586,,,,,,,,,,,
'040029B0100,'040029B010002,'04,CAMPECHE,'001,CAMPECHE,'0029,1,B,0,1,2,,,,,,,,15,36,37,25,39,40,48,9,27,44,32,12,18,,,382,425,,,,,,,,,,,
'040029C0100,'040029C010002,'04,CAMPECHE,'001,CAMPECHE,'0029,1,C,0,1,2,,,,,,,,2,25,38,23,25,19,35,21,21,47,2,39,10,,,307,424,,,,,,,,,,,
'040030B0100,'040030B010002,'04,CAMPECHE,'001,CAMPECHE,'0030,1,B,0,1,2,,,,,,,,46,8,40,16,48,5,31,19,48,28,4,35,11,,,339,384,,,,,,,,,,,
'040030C0100,'040030C010002,'04,CAMPECHE,'001,CAMPECHE,'0030,1,C,0,1,2,,,,,,,,26,16,25,46,29,12,43,33,3,3,42,26,47,,,351,383,,,,,,,,,,,
'040031B0100,'040031B010002,'04,CAMPECHE,'001,CAMPECHE,'0031,1,B,0,1,2,,,,,,,,41,30,16,19,49,12,2,29,37,38,31,15,6,,,325,722,,,,,,,,,,,
'040032B0100,'040032B010002,'04,CAMPECHE,'001,CAMPECHE,'0032,1,B,0,1,2,,,,,,,,47,12,34,26,44,49,28,13,9,7,32,43,36,,,380,398,,,,,,,,,,,
'040032C0100,'040032C010002,'04,CAMPECHE,'001,CAMPECHE,'0032,1,C,0,1,2,,,,,,,,43,45,34,45,20,24,31,20,23,12,20,7,49,,,373,397,,,,,,,,,,,
'040033B0100,'040033B010002,'04,CAMPECHE,'001,CAMPECHE,'0033,1,B,0,1,2,,,,,,,,24,18,5,24,15,6,1,40,13,27,32,46,44,,,295,477,,,,,,,,,,,
'040033C0100,'040033C010002,'04,CAMPECHE,'001,CAMPECHE,'0033,1,C,0,1,2,,,,,,,,32,17,13,2,31,43,27,20,10,44,49,22,45,,,355,477,,,,,,,,,,,
'040034B0100,'040034B010002,'04,CAMPECHE,'001,CAMPECHE,'0034,1,B,0,1,2,,,,,,,,17,7,46,23,41,21,24,26,29,32,36,27,12,,,341,668,,,,,,,,,,,
'040034C0100,'040034C010002,'04,CAMPECHE,'001,CAMPECHE,'0034,1,C,0,1,2,,,,,,,,38,33,49,40,32,11,45,12,48,27,12,39,19,,,405,668,,,,,,,,,,,
'040035B0100,'040035B010002,'04,CAMPECHE,'001,CAMPECHE,'0035,1,B,0,1,2,,,,,,,,37,38,10,12,33,24,20,21,11,10,37,12,44,,,309,491,,,,,,,,,,,
'040035C0100,'040035C010002,'04,CAMPECHE,'001,CAMPECHE,'0035,1,C,0,1,2,,,,,,,,18,46,27,48,15,8,13,36,28,27,4,22,32,,,324,491,,,,,,,,,,,
'040036B0100,'040036B010002,'04,CAMPECHE,'001,CAMPECHE,'0036,1,B,0,1,2,,,,,,,,24,10,2,33,43,5,11,5,37,41,45,41,27,,,324,596,,,,,,,,,,,
'040036C0100,'040036C010002,'04,CAMPECHE,'001,CAMPECHE,'0036,1,C,0,1,2,,,,,,,,37,7,24,2,15,37,39,41,45,21,20,23,31,,,342,596,,,,,,,,,,,
'040037B0100,'040037B010002,'04,CAMPECHE,'001,CAMPECHE,'0037,1,B,0,1,2,,,,,,,,37,32,8,16,13,4,41,48,25,10,44,31,46,,,355,461,,,,,,,,,,,
'040037C0100,'040037C010002,'04,CAMPECHE,'001,CAMPECHE,'0037,1,C,0,1,2,,,,,,,,45,1,32,19,24,24,48,23,46,30,44,16,18,,,370,461,,,,,,,,,,,
'040038B0100,'040038B010002,'04,CAMPECHE,'001,CAMPECHE,'0038,1,B,0,1,2,,,,,,,,10,29,24,13,26,35,27,45,12,37,30,16,37,,,341,749,,,,,,,,,,,
'040039B0100,'040039B010002,'04,CAMPECHE,'001,CAMPECHE,'0039,1,B,0,1,2,,,,,,,,28,7,47,18,31,23,4,43,36,20,9,35,49,,,350,707,,,,,,,,,,,
'040039C0100,'040039C010002,'04,CAMPECHE,'001,CAMPECHE,'0039,1,C,0,1,2,,,,,,,,30,45,12,6,36,8,28,20,14,21,1,7,26,,,254,706,,,,,,,,,,,
'040039C0200,'040039C020002,'04,CAMPECHE,'001,CAMPECHE,'0039,2,C,0,1,2,,,,,,,,32,33,40,13,25,23,45,8,22,44,26,9,36,,,356,706,,,,,,,,,,,
'040040B0100,'040040B010002,'04,CAMPECHE,'001,CAMPECHE,'0040,1,B,0,1,2,,,,,,,,46,15,4,47,28,46,32,36,22,38,1,29,27,,,371,749,,,,,,,,,,,
'040041B0100,'040041B010002,'04,CAMPECHE,'001,CAMPECHE,'0041,1,B,0,1,2,,,,,,,,46,40,24,27,10,37,15,27,30,20,43,41,31,,,391,394,,,,,,,,,,,
'040041C0100,'040041C010002,'04,CAMPECHE,'001,CAMPECHE,'0041,1,C,0,1,2,,,,,,,,10,27,21,23,46,13,26,16,8,6,40,49,44,,,329,394,,,,,,,,,,,
'040042B0100,'040042B010002,'04,CAMPECHE,'001,CAMPECHE,'0042,1,B,0,1,2,,,,,,,,23,17,26,20,38,16,41,6,13,7,43,16,37,,,303,556,,,,,,,,,,,
'040042C0100,'040042C010002,'04,CAMPECHE,'001,CAMPECHE,'0042,1,C,0,1,2,,,,,,,,15,22,31,7,15,21,42,18,22,20,47,22,19,,,301,555,,,,,,,,,,,
'040043B0100,'040043B010002,'04,CAMPECHE,'001,CAMPECHE,'0043,1,B,0,1,2,,,,,,,,23,41,35,23,24,19,16,26,14,31,39,21,33,,,345,491,,,,,,,,,,,
'040043C0100,'040043C010002,'04,CAMPECHE,'001,CAMPECHE,'0043,1,C,0,1,2,,,,,,,,3,16,40,19,17,48,28,18,41,35,34,24,43,,,366,491,,,,,,,,,,,
'040044B0100,'040044B010002,'04,CAMPECHE,'001,CAMPECHE,'0044,1,B,0,1,2,,,,,,,,49,36,29,9,10,45,24,42,19,4,49,2,34,,,352,410,,,,,,,,,,,
'040044C0100,'040044C010002,'04,CAMPECHE,'001,CAMPECHE,'0044,1,C,0,1,2,,,,,,,,20,48,21,7,23,21,11,20,28,42,43,10,31,,,325,409,,,,,,,,,,,
'040045B0100,'040045B010002,'04,CAMPECHE,'001,CAMPECHE,'0045,1,B,0,1,2,,,,,,,,48,49,22,46,46,28,36,21,24,29,49,10,34,,,442,385,,,,,,,,,,,
'040045C0100,'040045C010002,'04,CAMPECHE,'001,CAMPECHE,'0045,1,C,0,1,2,,,,,,,,11,36,42,32,33,3,45,32,27,8,37,5,21,,,332,384,,,,,,,,,,,
'040046B0100,'040046B010002,'04,CAMPECHE,'001,CAMPECHE,'0046,1,B,0,1,2,,,,,,,,33,43,11,29,25,18,34,29,27,48,26,7,9,,,339,504,,,,,,,,,,,
'040046C0100,'040046C010002,'04,CAMPECHE,'001,CAMPECHE,'0046,1,C,0,1,2,,,,,,,,5,24,38,34,47,46,27,45,49,10,24,34,43,,,426,504,,,,,,,,,,,
'040047B0100,'040047B010002,'04,CAMPECHE,'001,CAMPECHE,'0047,1,B,0,1,2,,,,,,,,48,11,19,9,12,25,9,28,34,19,33,47,18,,,312,456,,,,,,,,,,,
'040047C0100,'040047C010002,'04,CAMPECHE,'001,CAMPECHE,'0047,1,C,0,1,2,,,,,,,,10,20,37,20,42,47,1,40,35,13,39,15,29,,,348,456,,,,,,,,,,,
'040048B0100,'040048B010002,'04,CAMPECHE,'001,CAMPECHE,'0048,1,B,0,1,2,,,,,,,,39,1,35,27,3,38,12,1,34,47,5,26,28,,,296,487,,,,,,,,,,,
'040048C0100,'040048C010002,'04,CAMPECHE,'001,CAMPECHE,'0048,1,C,0,1,2,,,,,,,,10,11,28,47,2,22,8,21,33,44,5,19,25,,,275,487,,,,,,,,,,,
'040049B0100,'040049B010002,'04,CAMPECHE,'001,CAMPECHE,'0049,1,B,0,1,2,,,,,,,,23,40,16,8,18,31,47,8,49,21,42,25,9,,,337,573,,,,,,,,,,,
'040049C0100,'040049C010002,'04,CAMPECHE,'001,CAMPECHE,'0049,1,C,0,1,2,,,,,,,,11,7,42,40,13,22,37,22,20,40,12,19,9,,,294,572,,,,,,,,,,,
'040050B0100,'040050B010002,'04,CAMPECHE,'001,CAMPECHE,'0050,1,B,0,1,2,,,,,,,,26,3,32,15,11,43,2,7,8,30,46,45,31,,,299,643,,,,,,,,,,,
'040051B0100,'040051B010002,'04,CAMPECHE,'001,CAMPECHE,'0051,1,B,0,1,2,,,,,,,,38,37,31,17,22,21,4,38,43,7,18,8,31,,,315,500,,,,,,,,,,,
'040051C0100,'040051C010002,'04,CAMPECHE,'001,CAMPECHE,'0051,1,C,0,1,2,,,,,,,,20,28,44,19,14,36,11,45,5,28,39,20,29,,,338,499,,,,,,,,,,,
'040051S0100,'040051S010002,'04,CAMPECHE,'001,CAMPECHE,'0051,1,S,0,1,2,,,,,,,,4,46,42,1,3,39,39,34,36,34,37,33,15,,,363,0,,,,,,,,,,,
'040052B0100,'040052B010002,'04,CAMPECHE,'001,CAMPECHE,'0052,1,B,0,1,2,,,,,,,,35,20,37,18,47,30,32,49,2,28,8,29,25,,,360,675,,,,,,,,,,,
'040053B0100,'040053B010002,'04,CAMPECHE,'001,CAMPECHE,'0053,1,B,0,1,2,,,,,,,,24,35,4,29,11,5,17,30,4,21,8,19,45,,,252,518,,,,,,,,,,,
'040053C0100,'040053C010002,'04,CAMPECHE,'001,CAMPECHE,'0053,1,C,0,1,2,,,,,,,,16,2,22,3,48,43,12,19,14,27,22,36,29,,,293,517,,,,,,,,,,,
'040054B0100,'040054B010002,'04,CAMPECHE,'001,CAMPECHE,'0054,1,B,0,1,2,,,,,,,,19,43,2,5,13,29,20,25,28,32,25,49,12,,,302,410,,,,,,,,,,,
